Cell No.,Nucleus location (X),Nucleus location (Y),Nucleus perimeter,ALD1AH1,KCNT2,HIGD1B,ALD1AH2,PDGFRB,CLDN5,CCL19,DCN,KCNJ8,VEGFC,IL1R1,TAGLN,MFSD2A,RARA,TMEM132C,ACKR1,RGS16,MECOM
137,3134,445834,196.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,3792,446953,305.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,877,447455,337.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
140,3687,448209,238.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,834,443561,404.8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,785,447758,259.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143,3673,448111,189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144,3186,447368,209.5,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
145,3450,446765,491.7,0,0,1,6,0,56,0,0,1,2,0,1,7,2,1,0,0,7
146,4114,447556,239.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,1587,444192,534.1,3,1,0,1,15,0,0,9,0,1,8,0,0,0,0,0,0,0
148,4034,445825,277.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
149,3312,443950,382.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
150,3053,447225,411.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,3688,447609,332.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
152,3458,447438,502.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
153,1650,448108,252.3,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0
154,4789,443635,439.1,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0
155,717,448327,526.0,3,6,0,0,9,0,1,7,0,0,7,0,0,1,1,0,0,0
156,1157,444188,402.1,1,3,0,2,9,0,0,1,0,0,1,0,0,3,0,4,0,0
157,2849,446402,445.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
158,1791,446388,309.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
159,1473,447945,397.0,0,2,0,2,6,0,1,1,0,0,7,0,0,0,1,0,0,0
160,4188,444994,271.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,1420,444521,311.9,0,0,0,1,3,0,0,5,0,0,3,0,0,0,1,0,0,0
162,959,446666,169.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,1824,447398,314.2,0,0,1,3,5,19,0,1,1,0,0,10,2,0,0,0,0,3
164,1531,447892,374.7,1,1,0,2,1,0,1,7,1,0,5,0,0,1,2,0,0,0
165,3760,444189,184.4,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0
166,251,443721,171.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2919,447463,210.6,3,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0
168,1358,444280,385.4,0,0,0,0,2,5,0,0,0,0,6,0,0,0,1,0,0,1
169,3530,446444,252.3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
170,1831,448036,464.9,1,0,0,1,11,31,0,0,0,0,2,2,2,0,0,0,0,2
171,3808,447678,279.1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
172,4719,447777,196.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1618,448047,357.0,0,0,3,1,8,0,1,1,1,0,0,4,0,0,0,0,1,0
174,4740,446418,378.8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
175,3157,445774,279.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2652,446188,317.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
177,3515,446308,223.8,0,0,0,1,6,0,0,4,0,0,1,1,0,0,0,0,0,0
178,3172,448172,276.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,1160,447084,212.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3848,445657,157.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
181,2675,446445,452.3,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,1
182,1641,443556,477.6,1,3,0,0,4,0,1,5,0,0,5,3,0,2,2,0,1,0
183,3961,445415,228.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,3835,444762,365.8,5,1,0,0,3,0,0,4,0,0,4,0,0,0,4,0,0,0
185,206,443725,155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,480,444100,305.9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
187,2689,446117,244.3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
188,4000,443708,173.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,1143,447024,202.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1299,443554,318.0,2,1,0,2,2,0,0,0,0,0,7,0,0,1,0,0,0,0
191,4507,447230,141.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,709,445333,161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,3523,446235,248.4,0,0,0,0,3,0,0,2,0,0,1,2,0,0,1,0,1,0
194,3804,444609,510.2,0,0,0,0,0,1,0,1,0,3,0,0,0,2,0,2,0,2
195,3347,443684,128.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2896,448125,169.0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
197,3836,447616,149.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
198,925,446634,199.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,3858,447285,404.7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
200,594,448085,348.2,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0
201,1333,446209,127.3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
202,1459,444271,349.9,0,1,0,1,2,25,0,1,0,1,0,4,1,0,0,0,0,7
203,921,446453,147.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,1123,447061,196.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1448,444811,168.4,0,0,0,0,1,0,1,3,0,0,0,0,0,0,2,0,0,0
206,980,444732,148.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
207,2945,447351,158.7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
208,3888,448151,276.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
209,2671,447891,332.2,1,3,0,0,3,0,1,4,0,2,8,5,0,0,0,0,0,0
210,2310,448282,121.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,4685,446445,203.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,930,446680,155.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,1781,443675,150.4,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0
214,3185,443736,114.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,1757,443726,163.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,2216,448440,93.7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
217,1417,446406,229.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,652,448141,121.3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
219,3951,445460,163.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220,613,448009,81.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,3240,447802,157.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
222,2439,446473,137.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2189,449991,436.9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
224,4011,452424,479.7,2,6,0,1,5,1,0,0,0,0,0,0,0,1,0,1,0,0
225,4158,452991,422.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
226,4758,449310,425.5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0
227,3314,452709,455.1,0,0,0,0,2,31,2,1,0,0,2,7,0,1,0,0,0,7
228,3223,450529,415.3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
229,4556,452157,461.7,0,0,0,0,3,48,0,1,0,0,3,2,5,2,0,0,0,1
230,2562,449133,465.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
231,1331,449197,428.9,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
232,4426,448563,534.8,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
233,804,450002,497.4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
234,3153,448591,413.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
235,3111,451438,537.6,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0
236,1259,452802,498.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,9,0
237,1983,451461,504.2,1,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,2,0
238,716,451395,448.3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
239,4233,450609,348.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,1069,450081,440.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
241,4517,451530,478.6,0,4,0,0,2,0,1,0,1,0,0,2,0,1,5,0,0,0
242,1296,450449,424.1,5,1,0,2,1,0,0,6,0,0,4,1,0,1,0,0,0,0
243,4702,449237,408.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
244,629,448792,368.4,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
245,1456,450520,576.6,2,6,0,2,7,1,1,27,0,1,18,2,0,2,3,0,0,0
246,4762,449430,432.6,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
247,313,451386,372.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
248,3788,448688,386.9,0,0,0,0,0,30,0,0,0,0,0,0,2,3,0,1,0,0
249,2406,451573,355.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
250,1349,450806,474.1,1,0,0,2,2,1,0,4,0,0,2,1,0,1,0,0,0,0
251,2002,450815,576.2,1,1,0,0,0,0,1,4,0,5,0,1,1,1,0,3,0,0
252,3601,450496,414.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
253,4316,450533,318.2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
254,4602,451609,523.6,0,0,0,0,5,0,2,1,0,0,13,3,3,1,1,1,1,0
255,3734,452218,353.3,0,0,1,0,0,25,0,0,0,0,9,3,11,0,0,0,0,2
256,429,449858,352.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,2376,450469,489.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
258,3217,448522,407.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,3176,449999,539.4,0,0,0,2,0,68,0,0,0,0,0,3,6,2,0,0,0,7
260,1790,451006,433.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,881,451090,440.9,1,1,0,1,7,1,1,6,0,1,16,0,0,3,0,0,0,0
262,1958,452746,594.8,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
263,2357,449228,580.1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0
264,3786,452151,412.9,0,0,0,0,0,6,0,0,0,0,0,2,0,2,0,0,0,0
265,2209,451936,551.9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
266,1390,450137,361.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
267,2173,451047,441.7,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
268,1776,451156,513.4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0
269,3772,452709,365.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,1513,450015,466.3,0,8,1,0,14,0,0,14,3,0,2,15,0,0,0,0,0,0
